scale,client_id,case_name,expected_result,overall_pass,clip_ok,relation_ok,clip_lhs_sum_sq,clip_rhs_bound_sq,clip_bound_excess,clip_bound_excess_ppm,slack_ppm,slack_abs,relation_linf_gap,param_count,local_loss
100,0,honest_profile,pass,True,True,True,9858,10000,0,0.0,4201,42,0,10,0.475945
100,0,tampered_clip_profile,fail,False,False,True,10733,10000,733,73300.0,4201,42,0,10,0.475945
100,0,tampered_noisy_profile,fail,False,True,False,9858,10000,0,0.0,4201,42,1,10,0.475945
100,1,honest_profile,pass,True,True,True,10007,10000,7,700.0,4201,42,0,10,0.476529
100,1,tampered_clip_profile,fail,False,False,True,10892,10000,892,89200.0,4201,42,0,10,0.476529
100,1,tampered_noisy_profile,fail,False,True,False,10007,10000,7,700.0,4201,42,1,10,0.476529
100,2,honest_profile,pass,True,True,True,10042,10000,42,4200.0,4201,42,0,10,0.474137
100,2,tampered_clip_profile,fail,False,False,True,10897,10000,897,89700.0,4201,42,0,10,0.474137
100,2,tampered_noisy_profile,fail,False,True,False,10042,10000,42,4200.0,4201,42,1,10,0.474137
1000,0,honest_profile,pass,True,True,True,987958,1000000,0,0.0,4201,4201,0,10,0.475945
1000,0,tampered_clip_profile,fail,False,False,True,1075558,1000000,75558,75558.0,4201,4201,0,10,0.475945
1000,0,tampered_noisy_profile,fail,False,True,False,987958,1000000,0,0.0,4201,4201,1,10,0.475945
1000,1,honest_profile,pass,True,True,True,992923,1000000,0,0.0,4201,4201,0,10,0.476529
1000,1,tampered_clip_profile,fail,False,False,True,1081023,1000000,81023,81023.0,4201,4201,0,10,0.476529
1000,1,tampered_noisy_profile,fail,False,True,False,992923,1000000,0,0.0,4201,4201,1,10,0.476529
1000,2,honest_profile,pass,True,True,True,1000447,1000000,447,447.0,4201,4201,0,10,0.474137
1000,2,tampered_clip_profile,fail,False,False,True,1085747,1000000,85747,85747.0,4201,4201,0,10,0.474137
1000,2,tampered_noisy_profile,fail,False,True,False,1000447,1000000,447,447.0,4201,4201,1,10,0.474137
10000,0,honest_profile,pass,True,True,True,98890825,100000000,0,0.0,4201,420100,0,10,0.475945
10000,0,tampered_clip_profile,fail,False,False,True,107653825,100000000,7653825,76538.25,4201,420100,0,10,0.475945
10000,0,tampered_noisy_profile,fail,False,True,False,98890825,100000000,0,0.0,4201,420100,1,10,0.475945
10000,1,honest_profile,pass,True,True,True,99337085,100000000,0,0.0,4201,420100,0,10,0.476529
10000,1,tampered_clip_profile,fail,False,False,True,108148085,100000000,8148085,81480.85,4201,420100,0,10,0.476529
10000,1,tampered_noisy_profile,fail,False,True,False,99337085,100000000,0,0.0,4201,420100,1,10,0.476529
10000,2,honest_profile,pass,True,True,True,100010941,100000000,10941,109.41,4201,420100,0,10,0.474137
10000,2,tampered_clip_profile,fail,False,False,True,108536941,100000000,8536941,85369.41,4201,420100,0,10,0.474137
10000,2,tampered_noisy_profile,fail,False,True,False,100010941,100000000,10941,109.41,4201,420100,1,10,0.474137
