dataset,mode,seed,clients,rounds,samples,input_dim,test_size,initial_accuracy,final_accuracy,best_accuracy,mean_round_loss
breast_cancer_wisconsin,fl,42,3,5,569,30,114,0.438596,0.903509,0.903509,0.487787
breast_cancer_wisconsin,dp,42,3,5,569,30,114,0.438596,0.877193,0.877193,0.510361
breast_cancer_wisconsin,fl,52,3,5,569,30,114,0.035088,0.894737,0.894737,0.763398
breast_cancer_wisconsin,dp,52,3,5,569,30,114,0.035088,0.850877,0.850877,0.78404
breast_cancer_wisconsin,fl,62,3,5,569,30,114,0.201754,0.938596,0.938596,0.502652
breast_cancer_wisconsin,dp,62,3,5,569,30,114,0.201754,0.947368,0.964912,0.454294
pima_diabetes,fl,42,3,5,768,8,154,0.623377,0.694805,0.694805,0.627958
pima_diabetes,dp,42,3,5,768,8,154,0.623377,0.688312,0.701299,0.625811
pima_diabetes,fl,52,3,5,768,8,154,0.727273,0.772727,0.772727,0.565198
pima_diabetes,dp,52,3,5,768,8,154,0.727273,0.753247,0.753247,0.577003
pima_diabetes,fl,62,3,5,768,8,154,0.558442,0.727273,0.746753,0.596971
pima_diabetes,dp,62,3,5,768,8,154,0.558442,0.701299,0.707792,0.593403
german_credit,fl,42,3,5,1000,61,200,0.595,0.71,0.715,0.580684
german_credit,dp,42,3,5,1000,61,200,0.595,0.7,0.71,0.58533
german_credit,fl,52,3,5,1000,61,200,0.605,0.72,0.72,0.580843
german_credit,dp,52,3,5,1000,61,200,0.605,0.725,0.725,0.588997
german_credit,fl,62,3,5,1000,61,200,0.48,0.705,0.705,0.59439
german_credit,dp,62,3,5,1000,61,200,0.48,0.705,0.715,0.60293
banknote_authentication,fl,42,3,5,1372,4,275,0.185455,0.352727,0.352727,0.868675
banknote_authentication,dp,42,3,5,1372,4,275,0.185455,0.232727,0.232727,0.893059
banknote_authentication,fl,52,3,5,1372,4,275,0.410909,0.596364,0.596364,0.767875
banknote_authentication,dp,52,3,5,1372,4,275,0.410909,0.512727,0.512727,0.781474
banknote_authentication,fl,62,3,5,1372,4,275,0.363636,0.770909,0.770909,0.760165
banknote_authentication,dp,62,3,5,1372,4,275,0.363636,0.658182,0.658182,0.799913
